"Private" "Apps" "Accept" "Enroll" "Expend" "Grad.Rate" "Top25perc" "lat" "lng" "Name" "mappop"
"Tulane University" "Private" 7033 5125 1223 16920 74 75 29.9403477 -90.1207279 "Tulane University" "<b>Tulane University</b><br><b>Private</b><br><b>Applications: </b>7033<br><b>Applicatants accepted: </b>5125<br><b>Enrollments: </b>1223"
"Tusculum College" "Private" 626 372 145 4933 52 34 36.1734323 -82.7603678 "Tusculum College" "<b>Tusculum College</b><br><b>Private</b><br><b>Applications: </b>626<br><b>Applicatants accepted: </b>372<br><b>Enrollments: </b>145"
"Tuskegee University" "Private" 2267 1827 611 10872 65 59 32.430678 -85.7072853 "Tuskegee University" "<b>Tuskegee University</b><br><b>Private</b><br><b>Applications: </b>2267<br><b>Applicatants accepted: </b>1827<br><b>Enrollments: </b>611"
"Union College KY" "Private" 484 384 177 6864 64 45 36.871447 -83.887032 "Union College KY" "<b>Union College KY</b><br><b>Private</b><br><b>Applications: </b>484<br><b>Applicatants accepted: </b>384<br><b>Enrollments: </b>177"
"Union College NY" "Private" 3495 1712 528 15411 88 84 42.8177427 -73.9305222 "Union College NY" "<b>Union College NY</b><br><b>Private</b><br><b>Applications: </b>3495<br><b>Applicatants accepted: </b>1712<br><b>Enrollments: </b>528"
"Univ. of Wisconsin at OshKosh" "Public" 4800 2900 1515 5901 56 48 44.021364 -88.550861 "Univ. of Wisconsin at OshKosh" "<b>Univ. of Wisconsin at OshKosh</b><br><b>Public</b><br><b>Applications: </b>4800<br><b>Applicatants accepted: </b>2900<br><b>Enrollments: </b>1515"
"University of Alabama at Birmingham" "Public" 1797 1260 938 16352 33 35 33.4964621 -86.8095148 "University of Alabama at Birmingham" "<b>University of Alabama at Birmingham</b><br><b>Public</b><br><b>Applications: </b>1797<br><b>Applicatants accepted: </b>1260<br><b>Enrollments: </b>938"
"University of Arkansas at Fayetteville" "Public" 3235 3108 2133 6820 39 65 36.0678324 -94.1736551 "University of Arkansas at Fayetteville" "<b>University of Arkansas at Fayetteville</b><br><b>Public</b><br><b>Applications: </b>3235<br><b>Applicatants accepted: </b>3108<br><b>Enrollments: </b>2133"
"University of California at Berkeley" "Public" 19873 8252 3215 13919 78 100 37.8718992 -122.2585399 "University of California at Berkeley" "<b>University of California at Berkeley</b><br><b>Public</b><br><b>Applications: </b>19873<br><b>Applicatants accepted: </b>8252<br><b>Enrollments: </b>3215"
"University of California at Irvine" "Public" 15698 10775 2478 15934 66 100 33.6404952 -117.8442962 "University of California at Irvine" "<b>University of California at Irvine</b><br><b>Public</b><br><b>Applications: </b>15698<br><b>Applicatants accepted: </b>10775<br><b>Enrollments: </b>2478"
"University of Central Florida" "Public" 6986 2959 1918 6742 46 60 28.6024274 -81.2000599 "University of Central Florida" "<b>University of Central Florida</b><br><b>Public</b><br><b>Applications: </b>6986<br><b>Applicatants accepted: </b>2959<br><b>Enrollments: </b>1918"
"University of Charleston" "Private" 682 535 204 7683 57 43 38.3328289 -81.6165232 "University of Charleston" "<b>University of Charleston</b><br><b>Private</b><br><b>Applications: </b>682<br><b>Applicatants accepted: </b>535<br><b>Enrollments: </b>204"
"University of Chicago" "Private" 6348 2999 922 36854 90 94 41.7886079 -87.5987133 "University of Chicago" "<b>University of Chicago</b><br><b>Private</b><br><b>Applications: </b>6348<br><b>Applicatants accepted: </b>2999<br><b>Enrollments: </b>922"
"University of Cincinnati" "Public" 6855 5553 2408 13889 54 57 39.1329219 -84.5149504 "University of Cincinnati" "<b>University of Cincinnati</b><br><b>Public</b><br><b>Applications: </b>6855<br><b>Applicatants accepted: </b>5553<br><b>Enrollments: </b>2408"
"University of Connecticut at Storrs" "Public" 9735 7187 2064 10178 71 63 41.8077414 -72.2539805 "University of Connecticut at Storrs" "<b>University of Connecticut at Storrs</b><br><b>Public</b><br><b>Applications: </b>9735<br><b>Applicatants accepted: </b>7187<br><b>Enrollments: </b>2064"
"University of Dallas" "Private" 681 588 246 8731 63 74 32.845549 -96.9194984 "University of Dallas" "<b>University of Dallas</b><br><b>Private</b><br><b>Applications: </b>681<br><b>Applicatants accepted: </b>588<br><b>Enrollments: </b>246"
"University of Dayton" "Private" 6361 5293 1507 8894 93 51 39.7406624 -84.1792421 "University of Dayton" "<b>University of Dayton</b><br><b>Private</b><br><b>Applications: </b>6361<br><b>Applicatants accepted: </b>5293<br><b>Enrollments: </b>1507"
"University of Delaware" "Private" 14446 10516 3252 10650 75 57 39.6779504 -75.7506114 "University of Delaware" "<b>University of Delaware</b><br><b>Private</b><br><b>Applications: </b>14446<br><b>Applicatants accepted: </b>10516<br><b>Enrollments: </b>3252"
"University of Denver" "Private" 2974 2001 580 11762 67 60 39.6766174 -104.9618965 "University of Denver" "<b>University of Denver</b><br><b>Private</b><br><b>Applications: </b>2974<br><b>Applicatants accepted: </b>2001<br><b>Enrollments: </b>580"
"University of Detroit Mercy" "Private" 927 731 415 10891 51 50 42.4170914 -83.140294 "University of Detroit Mercy" "<b>University of Detroit Mercy</b><br><b>Private</b><br><b>Applications: </b>927<br><b>Applicatants accepted: </b>731<br><b>Enrollments: </b>415"
"University of Dubuque" "Private" 576 558 137 8767 45 39 42.4957207 -90.694911 "University of Dubuque" "<b>University of Dubuque</b><br><b>Private</b><br><b>Applications: </b>576<br><b>Applicatants accepted: </b>558<br><b>Enrollments: </b>137"
"University of Evansville" "Private" 2096 1626 694 7780 77 67 37.9732856 -87.531681 "University of Evansville" "<b>University of Evansville</b><br><b>Private</b><br><b>Applications: </b>2096<br><b>Applicatants accepted: </b>1626<br><b>Enrollments: </b>694"
"University of Florida" "Public" 12445 8836 3623 14737 66 85 29.6436325 -82.3549302 "University of Florida" "<b>University of Florida</b><br><b>Public</b><br><b>Applications: </b>12445<br><b>Applicatants accepted: </b>8836<br><b>Enrollments: </b>3623"
"University of Georgia" "Public" 11220 7871 3320 7881 63 79 33.9480053 -83.3773221 "University of Georgia" "<b>University of Georgia</b><br><b>Public</b><br><b>Applications: </b>11220<br><b>Applicatants accepted: </b>7871<br><b>Enrollments: </b>3320"
"University of Hartford" "Private" 5081 4040 1194 10625 66 26 41.800041 -72.7149903 "University of Hartford" "<b>University of Hartford</b><br><b>Private</b><br><b>Applications: </b>5081<br><b>Applicatants accepted: </b>4040<br><b>Enrollments: </b>1194"
"University of Hawaii at Manoa" "Public" 3580 2603 1627 12833 54 69 21.3 -157.818968 "University of Hawaii at Manoa" "<b>University of Hawaii at Manoa</b><br><b>Public</b><br><b>Applications: </b>3580<br><b>Applicatants accepted: </b>2603<br><b>Enrollments: </b>1627"
"University of Illinois - Urbana" "Public" 14939 11652 5705 8559 81 88 40.1019523 -88.2271615 "University of Illinois - Urbana" "<b>University of Illinois - Urbana</b><br><b>Public</b><br><b>Applications: </b>14939<br><b>Applicatants accepted: </b>11652<br><b>Enrollments: </b>5705"
"University of Illinois at Chicago" "Public" 8384 5727 2710 13883 34 50 41.8700281 -87.6716871 "University of Illinois at Chicago" "<b>University of Illinois at Chicago</b><br><b>Public</b><br><b>Applications: </b>8384<br><b>Applicatants accepted: </b>5727<br><b>Enrollments: </b>2710"
"University of Indianapolis" "Private" 1487 1276 388 6735 69 51 39.7098279 -86.1338854 "University of Indianapolis" "<b>University of Indianapolis</b><br><b>Private</b><br><b>Applications: </b>1487<br><b>Applicatants accepted: </b>1276<br><b>Enrollments: </b>388"
"University of Kansas" "Public" 8579 5561 3681 9657 57 50 38.9543439 -95.2557961 "University of Kansas" "<b>University of Kansas</b><br><b>Public</b><br><b>Applications: </b>8579<br><b>Applicatants accepted: </b>5561<br><b>Enrollments: </b>3681"
"University of La Verne" "Private" 1597 969 226 10139 47 38 34.0993679 -117.7721613 "University of La Verne" "<b>University of La Verne</b><br><b>Private</b><br><b>Applications: </b>1597<br><b>Applicatants accepted: </b>969<br><b>Enrollments: </b>226"
"University of Louisville" "Public" 4777 3057 1823 10207 31 33 38.2150452 -85.7601557 "University of Louisville" "<b>University of Louisville</b><br><b>Public</b><br><b>Applications: </b>4777<br><b>Applicatants accepted: </b>3057<br><b>Enrollments: </b>1823"
"University of Maine at Farmington" "Public" 1208 803 438 5712 59 48 44.6663725 -70.1473614 "University of Maine at Farmington" "<b>University of Maine at Farmington</b><br><b>Public</b><br><b>Applications: </b>1208<br><b>Applicatants accepted: </b>803<br><b>Enrollments: </b>438"
"University of Maine at Machias" "Public" 441 369 172 5935 64 45 44.7114655 -67.4580776 "University of Maine at Machias" "<b>University of Maine at Machias</b><br><b>Public</b><br><b>Applications: </b>441<br><b>Applicatants accepted: </b>369<br><b>Enrollments: </b>172"
"University of Maine at Presque Isle" "Public" 461 381 235 6408 35 40 46.6694136 -68.018649 "University of Maine at Presque Isle" "<b>University of Maine at Presque Isle</b><br><b>Public</b><br><b>Applications: </b>461<br><b>Applicatants accepted: </b>381<br><b>Enrollments: </b>235"
"University of Maryland at Baltimore County" "Public" 4269 2594 985 7618 55 57 39.2551135 -76.7111956 "University of Maryland at Baltimore County" "<b>University of Maryland at Baltimore County</b><br><b>Public</b><br><b>Applications: </b>4269<br><b>Applicatants accepted: </b>2594<br><b>Enrollments: </b>985"
"University of Maryland at College Park" "Public" 14292 10315 3409 9021 63 53 38.9869183 -76.9425543 "University of Maryland at College Park" "<b>University of Maryland at College Park</b><br><b>Public</b><br><b>Applications: </b>14292<br><b>Applicatants accepted: </b>10315<br><b>Enrollments: </b>3409"
"University of Massachusetts at Amherst" "Public" 14438 12414 3816 10276 68 39 42.3911569 -72.5267121 "University of Massachusetts at Amherst" "<b>University of Massachusetts at Amherst</b><br><b>Public</b><br><b>Applications: </b>14438<br><b>Applicatants accepted: </b>12414<br><b>Enrollments: </b>3816"
"University of Massachusetts at Dartmouth" "Public" 3347 2597 1006 7462 56 37 41.6308883 -71.0066999 "University of Massachusetts at Dartmouth" "<b>University of Massachusetts at Dartmouth</b><br><b>Public</b><br><b>Applications: </b>3347<br><b>Applicatants accepted: </b>2597<br><b>Enrollments: </b>1006"
"University of Miami" "Private" 7122 5386 1643 17500 59 69 25.7197396 -80.2770842 "University of Miami" "<b>University of Miami</b><br><b>Private</b><br><b>Applications: </b>7122<br><b>Applicatants accepted: </b>5386<br><b>Enrollments: </b>1643"
"University of Michigan at Ann Arbor" "Public" 19152 12940 4893 14847 87 92 42.2780436 -83.7382241 "University of Michigan at Ann Arbor" "<b>University of Michigan at Ann Arbor</b><br><b>Public</b><br><b>Applications: </b>19152<br><b>Applicatants accepted: </b>12940<br><b>Enrollments: </b>4893"
"University of Minnesota at Duluth" "Public" 4192 3126 1656 6393 53 45 46.818443 -92.0859227 "University of Minnesota at Duluth" "<b>University of Minnesota at Duluth</b><br><b>Public</b><br><b>Applications: </b>4192<br><b>Applicatants accepted: </b>3126<br><b>Enrollments: </b>1656"
"University of Minnesota at Morris" "Public" 1458 874 588 6716 51 86 45.5892069 -95.9033782 "University of Minnesota at Morris" "<b>University of Minnesota at Morris</b><br><b>Public</b><br><b>Applications: </b>1458<br><b>Applicatants accepted: </b>874<br><b>Enrollments: </b>588"
"University of Minnesota Twin Cities" "Public" 11054 6397 3524 16122 45 55 44.97399 -93.2277285 "University of Minnesota Twin Cities" "<b>University of Minnesota Twin Cities</b><br><b>Public</b><br><b>Applications: </b>11054<br><b>Applicatants accepted: </b>6397<br><b>Enrollments: </b>3524"
"University of Mississippi" "Public" 3844 3383 1669 6971 53 47 34.3647324 -89.538443 "University of Mississippi" "<b>University of Mississippi</b><br><b>Public</b><br><b>Applications: </b>3844<br><b>Applicatants accepted: </b>3383<br><b>Enrollments: </b>1669"
"University of Missouri at Columbia" "Public" 6574 4637 2940 10145 58 62 38.9403808 -92.3277375 "University of Missouri at Columbia" "<b>University of Missouri at Columbia</b><br><b>Public</b><br><b>Applications: </b>6574<br><b>Applicatants accepted: </b>4637<br><b>Enrollments: </b>2940"
"University of Missouri at Rolla" "Public" 1877 1826 823 9699 49 77 37.9542535 -91.7740231 "University of Missouri at Rolla" "<b>University of Missouri at Rolla</b><br><b>Public</b><br><b>Applications: </b>1877<br><b>Applicatants accepted: </b>1826<br><b>Enrollments: </b>823"
"University of Missouri at Saint Louis" "Public" 1618 1141 479 6433 48 54 38.7001176 -90.3055063 "University of Missouri at Saint Louis" "<b>University of Missouri at Saint Louis</b><br><b>Public</b><br><b>Applications: </b>1618<br><b>Applicatants accepted: </b>1141<br><b>Enrollments: </b>479"
"University of Mobile" "Private" 452 331 269 5412 52 54 30.7934181 -88.131579 "University of Mobile" "<b>University of Mobile</b><br><b>Private</b><br><b>Applications: </b>452<br><b>Applicatants accepted: </b>331<br><b>Enrollments: </b>269"
"University of Montevallo" "Public" 1351 892 570 5883 51 78 33.1039169 -86.8641543 "University of Montevallo" "<b>University of Montevallo</b><br><b>Public</b><br><b>Applications: </b>1351<br><b>Applicatants accepted: </b>892<br><b>Enrollments: </b>570"
"University of Nebraska at Lincoln" "Public" 6277 6003 3526 6813 53 63 40.8201966 -96.7004763 "University of Nebraska at Lincoln" "<b>University of Nebraska at Lincoln</b><br><b>Public</b><br><b>Applications: </b>6277<br><b>Applicatants accepted: </b>6003<br><b>Enrollments: </b>3526"
"University of New England" "Private" 1209 750 265 9718 64 54 43.458625 -70.3890932 "University of New England" "<b>University of New England</b><br><b>Private</b><br><b>Applications: </b>1209<br><b>Applicatants accepted: </b>750<br><b>Enrollments: </b>265"
"University of New Hampshire" "Public" 9750 7640 2529 7855 75 62 43.138948 -70.9370252 "University of New Hampshire" "<b>University of New Hampshire</b><br><b>Public</b><br><b>Applications: </b>9750<br><b>Applicatants accepted: </b>7640<br><b>Enrollments: </b>2529"
"University of North Carolina at Asheville" "Public" 1757 979 394 7011 37 74 35.6167944 -82.5672984 "University of North Carolina at Asheville" "<b>University of North Carolina at Asheville</b><br><b>Public</b><br><b>Applications: </b>1757<br><b>Applicatants accepted: </b>979<br><b>Enrollments: </b>394"
"University of North Carolina at Chapel Hill" "Public" 14596 5985 3331 15893 83 92 35.9049122 -79.0469134 "University of North Carolina at Chapel Hill" "<b>University of North Carolina at Chapel Hill</b><br><b>Public</b><br><b>Applications: </b>14596<br><b>Applicatants accepted: </b>5985<br><b>Enrollments: </b>3331"
"University of North Carolina at Charlotte" "Public" 5803 4441 1730 6227 62 62 35.3053732 -80.7309636 "University of North Carolina at Charlotte" "<b>University of North Carolina at Charlotte</b><br><b>Public</b><br><b>Applications: </b>5803<br><b>Applicatants accepted: </b>4441<br><b>Enrollments: </b>1730"
"University of North Carolina at Greensboro" "Public" 5191 4134 1500 7392 53 44 36.0662897 -79.8063395 "University of North Carolina at Greensboro" "<b>University of North Carolina at Greensboro</b><br><b>Public</b><br><b>Applications: </b>5191<br><b>Applicatants accepted: </b>4134<br><b>Enrollments: </b>1500"
"University of North Carolina at Wilmington" "Public" 6071 3856 1449 6005 55 67 34.225775 -77.8697741 "University of North Carolina at Wilmington" "<b>University of North Carolina at Wilmington</b><br><b>Public</b><br><b>Applications: </b>6071<br><b>Applicatants accepted: </b>3856<br><b>Enrollments: </b>1449"
"University of North Dakota" "Public" 2777 2249 1652 9424 49 54 47.922891 -97.0768014 "University of North Dakota" "<b>University of North Dakota</b><br><b>Public</b><br><b>Applications: </b>2777<br><b>Applicatants accepted: </b>2249<br><b>Enrollments: </b>1652"
"University of North Florida" "Public" 1800 1253 560 6104 47 85 30.2700609 -81.5084212 "University of North Florida" "<b>University of North Florida</b><br><b>Public</b><br><b>Applications: </b>1800<br><b>Applicatants accepted: </b>1253<br><b>Enrollments: </b>560"
"University of North Texas" "Public" 4418 2737 2049 5657 35 51 33.207488 -97.1525862 "University of North Texas" "<b>University of North Texas</b><br><b>Public</b><br><b>Applications: </b>4418<br><b>Applicatants accepted: </b>2737<br><b>Enrollments: </b>2049"
"University of Northern Colorado" "Public" 5530 4007 1697 6309 40 37 40.4040755 -104.6981412 "University of Northern Colorado" "<b>University of Northern Colorado</b><br><b>Public</b><br><b>Applications: </b>5530<br><b>Applicatants accepted: </b>4007<br><b>Enrollments: </b>1697"
"University of Northern Iowa" "Public" 4144 3379 1853 6333 77 52 42.5136981 -92.4635157 "University of Northern Iowa" "<b>University of Northern Iowa</b><br><b>Public</b><br><b>Applications: </b>4144<br><b>Applicatants accepted: </b>3379<br><b>Enrollments: </b>1853"
"University of Notre Dame" "Private" 7700 3700 1906 13936 97 96 41.7055716 -86.2353388 "University of Notre Dame" "<b>University of Notre Dame</b><br><b>Private</b><br><b>Applications: </b>7700<br><b>Applicatants accepted: </b>3700<br><b>Enrollments: </b>1906"
"University of Oklahoma" "Public" 4743 3970 2233 10244 44 63 35.2058936 -97.4457137 "University of Oklahoma" "<b>University of Oklahoma</b><br><b>Public</b><br><b>Applications: </b>4743<br><b>Applicatants accepted: </b>3970<br><b>Enrollments: </b>2233"
"University of Oregon" "Public" 8631 6732 2546 8020 54 61 44.0448302 -123.0726055 "University of Oregon" "<b>University of Oregon</b><br><b>Public</b><br><b>Applications: </b>8631<br><b>Applicatants accepted: </b>6732<br><b>Enrollments: </b>2546"
"University of Pennsylvania" "Private" 12394 5232 2464 25765 93 100 39.9522188 -75.1932137 "University of Pennsylvania" "<b>University of Pennsylvania</b><br><b>Private</b><br><b>Applications: </b>12394<br><b>Applicatants accepted: </b>5232<br><b>Enrollments: </b>2464"
"University of Pittsburgh-Main Campus" "Public" 8586 6383 2503 13789 66 59 40.4443533 -79.960835 "University of Pittsburgh-Main Campus" "<b>University of Pittsburgh-Main Campus</b><br><b>Public</b><br><b>Applications: </b>8586<br><b>Applicatants accepted: </b>6383<br><b>Enrollments: </b>2503"
"University of Portland" "Private" 1758 1485 419 9060 72 58 45.5721069 -122.7258785 "University of Portland" "<b>University of Portland</b><br><b>Private</b><br><b>Applications: </b>1758<br><b>Applicatants accepted: </b>1485<br><b>Enrollments: </b>419"
"University of Puget Sound" "Private" 4044 2826 688 11217 63 83 47.2620315 -122.4816819 "University of Puget Sound" "<b>University of Puget Sound</b><br><b>Private</b><br><b>Applications: </b>4044<br><b>Applicatants accepted: </b>2826<br><b>Enrollments: </b>688"
"University of Rhode Island" "Public" 9643 7751 1968 9158 63 40 41.4853379 -71.5290427 "University of Rhode Island" "<b>University of Rhode Island</b><br><b>Public</b><br><b>Applications: </b>9643<br><b>Applicatants accepted: </b>7751<br><b>Enrollments: </b>1968"
"University of Richmond" "Private" 5892 2718 756 11984 100 72 37.5739607 -77.5396137 "University of Richmond" "<b>University of Richmond</b><br><b>Private</b><br><b>Applications: </b>5892<br><b>Applicatants accepted: </b>2718<br><b>Enrollments: </b>756"
"University of Rochester" "Private" 8766 5498 1243 26037 80 75 43.1305531 -77.6260033 "University of Rochester" "<b>University of Rochester</b><br><b>Private</b><br><b>Applications: </b>8766<br><b>Applicatants accepted: </b>5498<br><b>Enrollments: </b>1243"
"University of San Diego" "Private" 3934 2735 886 10813 66 70 32.7716468 -117.1914947 "University of San Diego" "<b>University of San Diego</b><br><b>Private</b><br><b>Applications: </b>3934<br><b>Applicatants accepted: </b>2735<br><b>Enrollments: </b>886"
"University of San Francisco" "Private" 2306 1721 538 10074 62 48 37.776446 -122.450139 "University of San Francisco" "<b>University of San Francisco</b><br><b>Private</b><br><b>Applications: </b>2306<br><b>Applicatants accepted: </b>1721<br><b>Enrollments: </b>538"
"University of Sci. and Arts of Oklahoma" "Public" 285 280 208 3864 43 43 35.029728 -97.95459 "University of Sci. and Arts of Oklahoma" "<b>University of Sci. and Arts of Oklahoma</b><br><b>Public</b><br><b>Applications: </b>285<br><b>Applicatants accepted: </b>280<br><b>Enrollments: </b>208"
"University of Scranton" "Private" 4471 2942 910 9131 92 60 41.4058754 -75.6566238 "University of Scranton" "<b>University of Scranton</b><br><b>Private</b><br><b>Applications: </b>4471<br><b>Applicatants accepted: </b>2942<br><b>Enrollments: </b>910"
"University of South Carolina at Aiken" "Public" 848 560 377 5035 48 24 33.5749005 -81.7691889 "University of South Carolina at Aiken" "<b>University of South Carolina at Aiken</b><br><b>Public</b><br><b>Applications: </b>848<br><b>Applicatants accepted: </b>560<br><b>Enrollments: </b>377"
"University of South Carolina at Columbia" "Public" 7693 5815 2328 8246 63 66 33.996112 -81.0274276 "University of South Carolina at Columbia" "<b>University of South Carolina at Columbia</b><br><b>Public</b><br><b>Applications: </b>7693<br><b>Applicatants accepted: </b>5815<br><b>Enrollments: </b>2328"
"University of South Florida" "Public" 7589 4676 1876 11020 47 63 28.0587031 -82.4138539 "University of South Florida" "<b>University of South Florida</b><br><b>Public</b><br><b>Applications: </b>7589<br><b>Applicatants accepted: </b>4676<br><b>Enrollments: </b>1876"
"University of Southern California" "Private" 12229 8498 2477 17007 68 71 34.0223519 -118.285117 "University of Southern California" "<b>University of Southern California</b><br><b>Private</b><br><b>Applications: </b>12229<br><b>Applicatants accepted: </b>8498<br><b>Enrollments: </b>2477"
"University of Southern Colorado" "Public" 1401 1239 605 5389 36 34 38.3057535 -104.5801323 "University of Southern Colorado" "<b>University of Southern Colorado</b><br><b>Public</b><br><b>Applications: </b>1401<br><b>Applicatants accepted: </b>1239<br><b>Enrollments: </b>605"
"University of Southern Indiana" "Public" 2379 2133 1292 4078 38 25 37.9582278 -87.6753726 "University of Southern Indiana" "<b>University of Southern Indiana</b><br><b>Public</b><br><b>Applications: </b>2379<br><b>Applicatants accepted: </b>2133<br><b>Enrollments: </b>1292"
"University of Southern Mississippi" "Public" 2850 2044 1046 5917 45 50 31.3310077 -89.3357393 "University of Southern Mississippi" "<b>University of Southern Mississippi</b><br><b>Public</b><br><b>Applications: </b>2850<br><b>Applicatants accepted: </b>2044<br><b>Enrollments: </b>1046"
"University of St. Thomas MN" "Private" 2057 1807 828 8546 89 53 44.9419215 -93.189749 "University of St. Thomas MN" "<b>University of St. Thomas MN</b><br><b>Private</b><br><b>Applications: </b>2057<br><b>Applicatants accepted: </b>1807<br><b>Enrollments: </b>828"
"University of St. Thomas TX" "Private" 374 280 185 7237 62 77 29.7364692 -95.3933007 "University of St. Thomas TX" "<b>University of St. Thomas TX</b><br><b>Private</b><br><b>Applications: </b>374<br><b>Applicatants accepted: </b>280<br><b>Enrollments: </b>185"
"University of Tennessee at Knoxville" "Public" 7473 5372 3013 8612 53 53 35.9544013 -83.9294564 "University of Tennessee at Knoxville" "<b>University of Tennessee at Knoxville</b><br><b>Public</b><br><b>Applications: </b>7473<br><b>Applicatants accepted: </b>5372<br><b>Enrollments: </b>3013"
"University of Texas at Arlington" "Public" 3281 2559 1448 4696 29 43 32.7296782 -97.1129261 "University of Texas at Arlington" "<b>University of Texas at Arlington</b><br><b>Public</b><br><b>Applications: </b>3281<br><b>Applicatants accepted: </b>2559<br><b>Enrollments: </b>1448"
"University of Texas at Austin" "Public" 14752 9572 5329 7837 65 85 30.2849185 -97.7340567 "University of Texas at Austin" "<b>University of Texas at Austin</b><br><b>Public</b><br><b>Applications: </b>14752<br><b>Applicatants accepted: </b>9572<br><b>Enrollments: </b>5329"
"University of Texas at San Antonio" "Public" 4217 3100 1686 4329 50 46 29.584606 -98.6166152 "University of Texas at San Antonio" "<b>University of Texas at San Antonio</b><br><b>Public</b><br><b>Applications: </b>4217<br><b>Applicatants accepted: </b>3100<br><b>Enrollments: </b>1686"
"University of the Arts" "Private" 974 704 290 11641 57 22 39.945974 -75.165566 "University of the Arts" "<b>University of the Arts</b><br><b>Private</b><br><b>Applications: </b>974<br><b>Applicatants accepted: </b>704<br><b>Enrollments: </b>290"
"University of the Pacific" "Private" 2459 1997 582 13706 65 66 37.9805251 -121.3129754 "University of the Pacific" "<b>University of the Pacific</b><br><b>Private</b><br><b>Applications: </b>2459<br><b>Applicatants accepted: </b>1997<br><b>Enrollments: </b>582"
"University of the South" "Private" 1445 966 326 18784 82 83 35.2050177 -85.9208646 "University of the South" "<b>University of the South</b><br><b>Private</b><br><b>Applications: </b>1445<br><b>Applicatants accepted: </b>966<br><b>Enrollments: </b>326"
"University of Tulsa" "Private" 1712 1557 696 11743 47 68 36.1510134 -95.9451387 "University of Tulsa" "<b>University of Tulsa</b><br><b>Private</b><br><b>Applications: </b>1712<br><b>Applicatants accepted: </b>1557<br><b>Enrollments: </b>696"
"University of Utah" "Public" 5095 4491 2400 9275 37 53 40.7649368 -111.8421021 "University of Utah" "<b>University of Utah</b><br><b>Public</b><br><b>Applications: </b>5095<br><b>Applicatants accepted: </b>4491<br><b>Enrollments: </b>2400"
"University of Vermont" "Public" 7663 6008 1735 12646 79 51 44.4778528 -73.1964637 "University of Vermont" "<b>University of Vermont</b><br><b>Public</b><br><b>Applications: </b>7663<br><b>Applicatants accepted: </b>6008<br><b>Enrollments: </b>1735"
"University of Virginia" "Public" 15849 5384 2678 13597 95 95 38.0335529 -78.5079772 "University of Virginia" "<b>University of Virginia</b><br><b>Public</b><br><b>Applications: </b>15849<br><b>Applicatants accepted: </b>5384<br><b>Enrollments: </b>2678"
"University of Washington" "Public" 12749 7025 3343 16527 65 81 47.6553351 -122.3035199 "University of Washington" "<b>University of Washington</b><br><b>Public</b><br><b>Applications: </b>12749<br><b>Applicatants accepted: </b>7025<br><b>Enrollments: </b>3343"
"University of West Florida" "Public" 1558 1254 472 8488 53 57 30.5490901 -87.2185263 "University of West Florida" "<b>University of West Florida</b><br><b>Public</b><br><b>Applications: </b>1558<br><b>Applicatants accepted: </b>1254<br><b>Enrollments: </b>472"
"University of Wisconsin-Stout" "Public" 2593 1966 1030 6254 65 32 44.8699726 -91.927859 "University of Wisconsin-Stout" "<b>University of Wisconsin-Stout</b><br><b>Public</b><br><b>Applications: </b>2593<br><b>Applicatants accepted: </b>1966<br><b>Enrollments: </b>1030"
"University of Wisconsin-Superior" "Public" 910 910 342 6490 36 53 46.7177047 -92.0873409 "University of Wisconsin-Superior" "<b>University of Wisconsin-Superior</b><br><b>Public</b><br><b>Applications: </b>910<br><b>Applicatants accepted: </b>910<br><b>Enrollments: </b>342"
"University of Wisconsin-Whitewater" "Public" 4400 3719 1472 5559 67 38 42.8383546 -88.7432242 "University of Wisconsin-Whitewater" "<b>University of Wisconsin-Whitewater</b><br><b>Public</b><br><b>Applications: </b>4400<br><b>Applicatants accepted: </b>3719<br><b>Enrollments: </b>1472"
"University of Wisconsin at Green Bay" "Public" 2409 1939 759 5968 46 50 44.5323018 -87.9213524 "University of Wisconsin at Green Bay" "<b>University of Wisconsin at Green Bay</b><br><b>Public</b><br><b>Applications: </b>2409<br><b>Applicatants accepted: </b>1939<br><b>Enrollments: </b>759"
"University of Wisconsin at Madison" "Public" 14901 10932 4631 11006 72 80 43.076592 -89.4124875 "University of Wisconsin at Madison" "<b>University of Wisconsin at Madison</b><br><b>Public</b><br><b>Applications: </b>14901<br><b>Applicatants accepted: </b>10932<br><b>Enrollments: </b>4631"
"University of Wisconsin at Milwaukee" "Public" 5244 3782 1930 8094 38 37 43.078263 -87.8819686 "University of Wisconsin at Milwaukee" "<b>University of Wisconsin at Milwaukee</b><br><b>Public</b><br><b>Applications: </b>5244<br><b>Applicatants accepted: </b>3782<br><b>Enrollments: </b>1930"
"University of Wyoming" "Public" 2029 1516 1073 8745 45 46 41.3130972 -105.5796706 "University of Wyoming" "<b>University of Wyoming</b><br><b>Public</b><br><b>Applications: </b>2029<br><b>Applicatants accepted: </b>1516<br><b>Enrollments: </b>1073"
"Upper Iowa University" "Private" 663 452 192 3733 78 35 42.8372682 -91.8006369 "Upper Iowa University" "<b>Upper Iowa University</b><br><b>Private</b><br><b>Applications: </b>663<br><b>Applicatants accepted: </b>452<br><b>Enrollments: </b>192"
"Ursinus College" "Private" 1399 1026 308 12082 79 77 40.1942068 -75.4580225 "Ursinus College" "<b>Ursinus College</b><br><b>Private</b><br><b>Applications: </b>1399<br><b>Applicatants accepted: </b>1026<br><b>Enrollments: </b>308"
